36 chowk (area: FSD, leopards: NO_LEOPARDS)
chor cantt (area: HDD, leopards: NO_LEOPARDS)
chowk sarwar shaheed (area: MUX, leopards: Chowk Sarwar Sh)
chund (area: NO_TCS_AREA, leopards: CHUND)
chundiko (area: SKZ, leopards: NO_LEOPARDS)
chunia (area: LHE, leopards: NO_LEOPARDS)
dad laghari (area: NO_TCS_AREA, leopards: DAD LAGHARI)
dahewal (area: NO_TCS_AREA, leopards: DAHEWAL)
danda shah bila (area: NO_TCS_AREA, leopards: DANDA SHAH BILA)
dar-ul-islam co (area: NO_TCS_AREA, leopards: DAR-UL-ISLAM CO)
darbar(hajiabad (area: NO_TCS_AREA, leopards: DARBAR(HAJIABAD)
darbello (area: NO_TCS_AREA, leopards: DARBELLO)
darosh (area: PEW, leopards: DARROSH)
darrora (area: NO_TCS_AREA, leopards: DARRORA)
dary khan (area: FSD, leopards: NO_LEOPARDS)
daulatpur safan (area: NO_TCS_AREA, leopards: DAULATPUR SAFAN)
deena (area: NO_TCS_AREA, leopards: Deena)
dera malla sin (area: NO_TCS_AREA, leopards: DERA MALLA SIN)
dewan sharif (a (area: NO_TCS_AREA, leopards: DEWAN SHARIF (A)
dhall ghair (area: NO_TCS_AREA, leopards: DHALL GHAIR)
dhamtal (area: GUJ, leopards: NO_LEOPARDS)
dhander (kalan) (area: NO_TCS_AREA, leopards: DHANDER (KALAN))
dhangri bala (a (area: NO_TCS_AREA, leopards: DHANGRI BALA (A)
dhani bombian (area: NO_TCS_AREA, leopards: DHANI BOMBIAN)
dhanola (area: FSD, leopards: NO_LEOPARDS)
dharanwala (area: NO_TCS_AREA, leopards: DHARANWALA)
dheerkot (area: RWP, leopards: NO_LEOPARDS)
dheri julagram (area: NO_TCS_AREA, leopards: DHERI JULAGRAM)
dhoke badial (area: NO_TCS_AREA, leopards: DHOKE BADIAL)
dhurkana (area: NO_TCS_AREA, leopards: DHURKANA)
dhurnal (area: NO_TCS_AREA, leopards: DHURNAL)
dolat nagar (area: GUJ, leopards: NO_LEOPARDS)
dolta (area: NO_TCS_AREA, leopards: DOLTA)
dorey (area: NO_TCS_AREA, leopards: DOREY)
dorey wala (area: NO_TCS_AREA, leopards: DOREY WALA)
dour (area: HDD, leopards: NO_LEOPARDS)
dulle wala (area: FSD, leopards: DULEWALA)
faizpur khurd (area: NO_TCS_AREA, leopards: FAIZPUR KHURD)
farroqabad (area: LHE, leopards: Farooqabad)
fujairah (area: DXB, leopards: NO_LEOPARDS)
gahkuch ghizer (area: RWP, leopards: NO_LEOPARDS)
gala knatha (area: NO_TCS_AREA, leopards: GALA KNATHA)
gambat (area: SKZ, leopards: GAMBAT)
gambat city (area: SKZ, leopards: NO_LEOPARDS)
garha morr (area: MUX, leopards: NO_LEOPARDS)
garhi dopatta (area: NO_TCS_AREA, leopards: GARHI DOPATTA)
garhi doulat za (area: NO_TCS_AREA, leopards: GARHI DOULAT ZA)
gari yasin (area: SKZ, leopards: GARHI YASIN)
gf (area: KHI, leopards: NO_LEOPARDS)
ghalanay (area: PEW, leopards: NO_LEOPARDS)
ghari khero (area: NO_TCS_AREA, leopards: Ghari Khero)
gharibwal cemen (area: NO_TCS_AREA, leopards: GHARIBWAL CEMEN)
ghazikot townsh (area: NO_TCS_AREA, leopards: GHAZIKOT TOWNSH)
ghulam ishaq un (area: NO_TCS_AREA, leopards: GHULAM ISHAQ UN)
ghuman wala (area: NO_TCS_AREA, leopards: GHUMAN WALA)
gidani (area: NO_TCS_AREA, leopards: GIDANI)
glotian morr (area: NO_TCS_AREA, leopards: GLOTIAN MORR)
gojra ( mandi b (area: NO_TCS_AREA, leopards: GOJRA ( MANDI B)
groat shehar/ca (area: NO_TCS_AREA, leopards: GROAT SHEHAR/CA)
gujarpur (area: NO_TCS_AREA, leopards: GUJARPUR)
habibabad (area: NO_TCS_AREA, leopards: HABIBABAD)
habibullah colo (area: NO_TCS_AREA, leopards: HABIBULLAH COLO)
hafizwala (area: FSD, leopards: NO_LEOPARDS)
hajiabad ichria (area: NO_TCS_AREA, leopards: HAJIABAD ICHRIA)
hamid (area: NO_TCS_AREA, leopards: HAMID)
hari chand (area: NO_TCS_AREA, leopards: HARI CHAND)
hari ghel (area: NO_TCS_AREA, leopards: HARI GHEL)
hariah railway (area: NO_TCS_AREA, leopards: HARIAH RAILWAY)
hariyawala (area: NO_TCS_AREA, leopards: HARIYAWALA)
harno (area: NO_TCS_AREA, leopards: HARNO)
harnouli (area: FSD, leopards: NO_LEOPARDS)
harrapa (area: MUX, leopards: NO_LEOPARDS)
haseeb waqas mi (area: NO_TCS_AREA, leopards: HASEEB WAQAS MI)
haya serai (area: NO_TCS_AREA, leopards: HAYA SERAI)
hazoor pur (area: NO_TCS_AREA, leopards: HAZOOR PUR)
head baloki roa (area: NO_TCS_AREA, leopards: HEAD BALOKI ROA)
head works(btk) (area: NO_TCS_AREA, leopards: HEAD WORKS(BTK))
hhh (area: MUX, leopards: NO_LEOPARDS)
hingorno (area: NO_TCS_AREA, leopards: HINGORNO)
hyder abad thal (area: NO_TCS_AREA, leopards: HYDER ABAD THAL)
islam pura jabb (area: NO_TCS_AREA, leopards: ISLAM PURA JABB)
kot islam (area: NO_TCS_AREA, leopards: KOT ISLAM)
issa khel (area: FSD, leopards: NO_LEOPARDS)
j camp (area: NO_TCS_AREA, leopards: J CAMP)
jabelali (area: DXB, leopards: NO_LEOPARDS)
jaglot (area: RWP, leopards: NO_LEOPARDS)
jaman shah(surs (area: NO_TCS_AREA, leopards: JAMAN SHAH(SURS)
jand nagar (area: NO_TCS_AREA, leopards: JAND NAGAR)
jarwar (area: SKZ, leopards: JARWAR)
jauhrabad (area: NO_TCS_AREA, leopards: Jauhrabad)
jaunpur (area: NO_TCS_AREA, leopards: JAUNPUR)
jhajra east (area: NO_TCS_AREA, leopards: JHAJRA EAST)
jhajra west (area: NO_TCS_AREA, leopards: JHAJRA WEST)
jhat pat (area: SKZ, leopards: NO_LEOPARDS)
jhawariya (area: NO_TCS_AREA, leopards: JHAWARIYA)
jheteke (area: NO_TCS_AREA, leopards: JHETEKE)
jhugian (area: NO_TCS_AREA, leopards: JHUGIAN)
jibbran mandi (area: NO_TCS_AREA, leopards: JIBBRAN MANDI)
jor (bunner) (area: NO_TCS_AREA, leopards: JOR (BUNNER))
juglot (area: NO_TCS_AREA, leopards: JUGLOT)
kacha kho (area: MUX, leopards: NO_LEOPARDS)
kahna nao (area: NO_TCS_AREA, leopards: KAHNA NAO)
kalar kahar (area: RWP, leopards: KALAR KAHAR)
kalaskay (area: GUJ, leopards: NO_LEOPARDS)
kalhoro (area: NO_TCS_AREA, leopards: KALHORO)
kana nau (area: LHE, leopards: NO_LEOPARDS)
kandal sayan (area: NO_TCS_AREA, leopards: KANDAL SAYAN)
kangan pur (area: LHE, leopards: KANGANPUR)
karimabad(hunza (area: NO_TCS_AREA, leopards: KARIMABAD(HUNZA)
karoondi (area: NO_TCS_AREA, leopards: KAROONDI)
karor lal eason (area: MUX, leopards: KAROR LAL EASAN)
kasowal (area: MUX, leopards: NO_LEOPARDS)
kattha sughral (area: NO_TCS_AREA, leopards: KATTHA SUGHRAL)
kerala majhan (area: NO_TCS_AREA, leopards: KERALA MAJHAN)
keryala (area: NO_TCS_AREA, leopards: KERYALA)
khaal (area: NO_TCS_AREA, leopards: KHAAL)
khabeki (area: NO_TCS_AREA, leopards: KHABEKI)
khadro (area: NO_TCS_AREA, leopards: KHADRO)
khair pur meeru (area: NO_TCS_AREA, leopards: KHAIR PUR MEERU)
khair pur tamianwali (area: MUX, leopards: KHAIRPUR TAMIAN)
khaiw wali (area: NO_TCS_AREA, leopards: KHAIW WALI)
khalabat sector (area: NO_TCS_AREA, leopards: KHALABAT SECTOR)
khan pur distt. (area: NO_TCS_AREA, leopards: KHAN PUR DISTT.)
khanpur maher (area: SKZ, leopards: KHANPUR MEHER)
khanpur shomali (area: NO_TCS_AREA, leopards: KHANPUR SHOMALI)
khar (bajore ag (area: NO_TCS_AREA, leopards: KHAR (BAJORE AG)
khar (batkhela) (area: NO_TCS_AREA, leopards: KHAR (BATKHELA))
khat kali (area: NO_TCS_AREA, leopards: KHAT KALI)
khawaja textile (area: NO_TCS_AREA, leopards: KHAWAJA TEXTILE)
khewra dandot (area: RWP, leopards: NO_LEOPARDS)
khi gen heavy (area: KHI, leopards: NO_LEOPARDS)
khidar wala (area: FSD, leopards: KHIDAR WALA)
khore (area: NO_TCS_AREA, leopards: KHORE)
khorra (area: NO_TCS_AREA, leopards: KHORRA)
khota (area: NO_TCS_AREA, leopards: KHOTA)
kohat industria (area: NO_TCS_AREA, leopards: KOHAT INDUSTRIA)
kot chutta (area: MUX, leopards: NO_LEOPARDS)
kot deji (area: NO_TCS_AREA, leopards: KOT DEJI)
kot digee (area: NO_TCS_AREA, leopards: KOT DIGEE)
kot je sing (area: NO_TCS_AREA, leopards: KOT JE SING)
kot najeeb ulla (area: NO_TCS_AREA, leopards: KOT NAJEEB ULLA)
kot samabah (area: SKZ, leopards: NO_LEOPARDS)
kot sujan sing (area: NO_TCS_AREA, leopards: KOT SUJAN SING)
kot sultan(bhai (area: NO_TCS_AREA, leopards: KOT SULTAN(BHAI)
kotla (area: GUJ, leopards: NO_LEOPARDS)
kotla jam (area: FSD, leopards: NO_LEOPARDS)
koulo tarrar (area: NO_TCS_AREA, leopards: KOULO TARRAR)
kufri (area: NO_TCS_AREA, leopards: KUFRI)
kumb (area: SKZ, leopards: NO_LEOPARDS)
kuthiala sheikh (area: NO_TCS_AREA, leopards: KUTHIALA SHEIKH)
ladhana (area: NO_TCS_AREA, leopards: LADHANA)
laidher (area: NO_TCS_AREA, leopards: LAIDHER)
lalpir (therma (area: NO_TCS_AREA, leopards: LALPIR (THERMA)
lalu rawank (area: NO_TCS_AREA, leopards: LALU RAWANK)
lawrence colleg (area: NO_TCS_AREA, leopards: LAWRENCE COLLEG)
lawrence pur (area: RWP, leopards: LAWRENCEPUR)
liaqatabad(pipl (area: NO_TCS_AREA, leopards: LIAQATABAD(PIPL)
loothar (area: NO_TCS_AREA, leopards: LOOTHAR)
lower dir (area: PEW, leopards: NO_LEOPARDS)
mach (area: NO_TCS_AREA, leopards: MACH)
machikey(factor (area: NO_TCS_AREA, leopards: MACHIKEY(FACTOR)
madeji (area: SKZ, leopards: NO_LEOPARDS)
madina market (area: NO_TCS_AREA, leopards: MADINA MARKET)
maira matoor (area: NO_TCS_AREA, leopards: MAIRA MATOOR)
malan mansoor (area: NO_TCS_AREA, leopards: MALAN MANSOOR)
malhoona more (area: NO_TCS_AREA, leopards: MALHOONA MORE)
mamun kanjan (area: FSD, leopards: MAMON KANJAN)
mandi dhaba sin (area: NO_TCS_AREA, leopards: MANDI DHABA SIN)
mandi heera sin (area: NO_TCS_AREA, leopards: MANDI HEERA SIN)
mandi sadiq gun (area: NO_TCS_AREA, leopards: MANDI SADIQ GUN)
mandi safdar ab (area: NO_TCS_AREA, leopards: MANDI SAFDAR AB)
mandi shah (area: FSD, leopards: MANDI SHAH JUIN)
mandranwala (area: NO_TCS_AREA, leopards: Mandranwala)
manduri kurram (area: NO_TCS_AREA, leopards: MANDURI KURRAM)
mangla dam (area: NO_TCS_AREA, leopards: MANGLA DAM)
mangla industri (area: NO_TCS_AREA, leopards: MANGLA INDUSTRI)
mankera (area: FSD, leopards: NO_LEOPARDS)
manshera camp (area: NO_TCS_AREA, leopards: MANSHERA CAMP)
mardwal (area: NO_TCS_AREA, leopards: MARDWAL)
margaz (area: NO_TCS_AREA, leopards: MARGAZ)
mashkay (area: NO_TCS_AREA, leopards: MASHKAY)
memon goth (area: KHI, leopards: NO_LEOPARDS)
mian m.sugar mi (area: NO_TCS_AREA, leopards: MIAN M.SUGAR MI)
miani adda (area: RWP, leopards: NO_LEOPARDS)
mir ali (area: PEW, leopards: NO_LEOPARDS)
mir pur baghal (area: NO_TCS_AREA, leopards: MIR PUR BAGHAL)
mirwah gorchani (area: HDD, leopards: NO_LEOPARDS)
mityari (area: HDD, leopards: NO_LEOPARDS)
mohar sharif (area: NO_TCS_AREA, leopards: MOHAR SHARIF)
mohara gulsher (area: NO_TCS_AREA, leopards: MOHARA GULSHER)
mohinudin pur (area: NO_TCS_AREA, leopards: MOHINUDIN PUR)
mohmmadpur diwa (area: NO_TCS_AREA, leopards: MOHMMADPUR DIWA)
mohra noori (area: NO_TCS_AREA, leopards: MOHRA NOORI)
mohuta mohra (area: NO_TCS_AREA, leopards: MOHUTA MOHRA)
mor kunda (area: FSD, leopards: NO_LEOPARDS)
much (area: UET, leopards: NO_LEOPARDS)
mujahid abad (a (area: NO_TCS_AREA, leopards: MUJAHID ABAD (A)
murali wala (area: NO_TCS_AREA, leopards: MURALI WALA)
musa (area: NO_TCS_AREA, leopards: MUSA)
nagarparkar (area: HDD, leopards: NO_LEOPARDS)
narian sharif (area: NO_TCS_AREA, leopards: NARIAN SHARIF)
narwala bangla (area: FSD, leopards: NO_LEOPARDS)
nauabad (area: HDD, leopards: NO_LEOPARDS)
naushera (area: FSD, leopards: NO_LEOPARDS)
naya lahore (area: FSD, leopards: NO_LEOPARDS)
nehang (area: NO_TCS_AREA, leopards: NEHANG)
new mohalla (area: NO_TCS_AREA, leopards: NEW MOHALLA)
newdarband town (area: NO_TCS_AREA, leopards: NEWDARBAND TOWN)
nomanpura (area: NO_TCS_AREA, leopards: NOMANPURA)
noorpur noranga (area: NO_TCS_AREA, leopards: NOORPUR NORANGA)
noorpur thal (area: FSD, leopards: NOORPUR THAL)
nowshera dt. kh (area: NO_TCS_AREA, leopards: NOWSHERA DT. KH)
nrtc(telecom st (area: NO_TCS_AREA, leopards: NRTC(TELECOM ST)
okara cantt (area: MUX, leopards: NO_LEOPARDS)
oremara town (area: NO_TCS_AREA, leopards: OREMARA TOWN)
paf base (area: SKZ, leopards: NO_LEOPARDS)
paigah (area: NO_TCS_AREA, leopards: PAIGAH)
painsra (area: FSD, leopards: NO_LEOPARDS)
pandi sabarwal (area: NO_TCS_AREA, leopards: PANDI SABARWAL)
pang kasi (area: NO_TCS_AREA, leopards: PANG KASI)
panjgiran (area: FSD, leopards: NO_LEOPARDS)
panu aqil cantt (area: SKZ, leopards: NO_LEOPARDS)
panyolia (area: RWP, leopards: NO_LEOPARDS)
par nowshera (area: NO_TCS_AREA, leopards: PAR NOWSHERA)
parova (area: NO_TCS_AREA, leopards: PAROVA)
perial (area: NO_TCS_AREA, leopards: PERIAL)
pharianwala (area: GUJ, leopards: NO_LEOPARDS)
phlor (area: FSD, leopards: NO_LEOPARDS)
pind hashim kha (area: NO_TCS_AREA, leopards: PIND HASHIM KHA)
pioneer cement (area: NO_TCS_AREA, leopards: PIONEER CEMENT)
piryalo (area: SKZ, leopards: NO_LEOPARDS)
pithoro (area: HDD, leopards: PITHORO)
pooran (area: PEW, leopards: NO_LEOPARDS)
pourmiana (area: NO_TCS_AREA, leopards: POURMIANA)
public school(a (area: NO_TCS_AREA, leopards: PUBLIC SCHOOL(A)
punjab sugar mi (area: NO_TCS_AREA, leopards: PUNJAB SUGAR MI)
purab klair (area: NO_TCS_AREA, leopards: PURAB KLAIR)
qasim bela (area: MUX, leopards: NO_LEOPARDS)
rabwa (area: NO_TCS_AREA, leopards: Rabwa)
radhan station (area: SKZ, leopards: NO_LEOPARDS)
raja sadokey (area: NO_TCS_AREA, leopards: RAJA SADOKEY)
ras al khaimah (area: DXB, leopards: NO_LEOPARDS)
rasool pur tarr (area: NO_TCS_AREA, leopards: RASOOL PUR TARR)
rehmani nagar (area: NO_TCS_AREA, leopards: REHMANI NAGAR)
renala khurd (area: MUX, leopards: RENALAKHURD)
right bank colo (area: NO_TCS_AREA, leopards: RIGHT BANK COLO)
rodu sultan (area: FSD, leopards: NO_LEOPARDS)
roodo sultan (area: NO_TCS_AREA, leopards: ROODO SULTAN)
saboor sharif (area: NO_TCS_AREA, leopards: SABOOR SHARIF)
sacote (area: NO_TCS_AREA, leopards: SACOTE)
sadhar (area: FSD, leopards: NO_LEOPARDS)
sahib abad (area: NO_TCS_AREA, leopards: SAHIB ABAD)
sahiwal - fsd (area: FSD, leopards: NO_LEOPARDS)
sahiwal (nawan (area: NO_TCS_AREA, leopards: SAHIWAL (NAWAN)
saidu sharif (swat) (area: PEW, leopards: SAIDU SHARIF (S)
saloi (area: NO_TCS_AREA, leopards: SALOI)
sandhilian wali (area: FSD, leopards: SANDHIANWALI)
sandu gali (area: NO_TCS_AREA, leopards: SANDU GALI)
sanghi (area: NO_TCS_AREA, leopards: SANGHI)
sara-e- karishan (area: NO_TCS_AREA, leopards: SARA-E- KARISHAN)
sarai chowk (area: NO_TCS_AREA, leopards: SARAI CHOWK)
sarai naymat kh (area: NO_TCS_AREA, leopards: SARAI NAYMAT KH)
sarkalan (area: NO_TCS_AREA, leopards: SARKALAN)
saro zai (area: NO_TCS_AREA, leopards: SARO ZAI)
sarwala (area: NO_TCS_AREA, leopards: SARWALA)
sarwar shaheed (area: MUX, leopards: NO_LEOPARDS)
satiana bangla (area: FSD, leopards: NO_LEOPARDS)
satiyana (area: NO_TCS_AREA, leopards: SATIYANA)
sattrah (area: NO_TCS_AREA, leopards: SATTRAH)
seher bagla (area: NO_TCS_AREA, leopards: SEHER BAGLA)
sensa (area: RWP, leopards: NO_LEOPARDS)
shah bagh (area: NO_TCS_AREA, leopards: SHAH BAGH)
shah dher (area: NO_TCS_AREA, leopards: SHAH DHER)
shah saddar din (area: MUX, leopards: NO_LEOPARDS)
shaheed chowk (area: PEW, leopards: NO_LEOPARDS)
shamkot (area: NO_TCS_AREA, leopards: SHAMKOT)
shankiari (area: NO_TCS_AREA, leopards: SHANKIARI)
sharjah (area: DXB, leopards: NO_LEOPARDS)
shawa adda (area: RWP, leopards: NO_LEOPARDS)
sher khanie (area: NO_TCS_AREA, leopards: SHER KHANIE)
shewa adda (area: NO_TCS_AREA, leopards: SHEWA ADDA)
shimla hill (area: NO_TCS_AREA, leopards: SHIMLA HILL)
shoukat lines (area: NO_TCS_AREA, leopards: SHOUKAT LINES)
sialmore (area: FSD, leopards: NO_LEOPARDS)
sirgudhan (area: NO_TCS_AREA, leopards: SIRGUDHAN)
sita road (area: HDD, leopards: SITA ROAD(REHMA)
small ind estat (area: NO_TCS_AREA, leopards: SMALL IND ESTAT)
sohawa (city on (area: NO_TCS_AREA, leopards: SOHAWA (CITY ON)
sohawa dewalian (area: NO_TCS_AREA, leopards: SOHAWA DEWALIAN)
sohbatpur (area: SKZ, leopards: NO_LEOPARDS)
srai alamgeer (area: GUJ, leopards: NO_LEOPARDS)
sundar adda (area: LHE, leopards: NO_LEOPARDS)
syed wala (area: NO_TCS_AREA, leopards: SYED WALA)
t-tip colony (area: NO_TCS_AREA, leopards: T-TIP COLONY)
tall (area: PEW, leopards: NO_LEOPARDS)
tamirgaraha (area: NO_TCS_AREA, leopards: Tamirgaraha)
tand koi (area: NO_TCS_AREA, leopards: TAND KOI)
tando jan mohd (area: HDD, leopards: TANDO JAN MOHD.)
tangi (area: PEW, leopards: NO_LEOPARDS)
tangi gala (a. (area: NO_TCS_AREA, leopards: TANGI GALA (A.)
tarand sawai kh (area: SKZ, leopards: NO_LEOPARDS)
tarnab farm(agr (area: NO_TCS_AREA, leopards: TARNAB FARM(AGR)
tatral (area: NO_TCS_AREA, leopards: TATRAL)
tehi (area: NO_TCS_AREA, leopards: TEHI)
thaingi (area: NO_TCS_AREA, leopards: THAINGI)
thall (area: NO_TCS_AREA, leopards: THALL)
thanil fatoi (area: NO_TCS_AREA, leopards: THANIL FATOI)
tharo shah (area: HDD, leopards: NO_LEOPARDS)
tharparker (area: NO_TCS_AREA, leopards: THARPARKER)
thatta (sadiqab (area: NO_TCS_AREA, leopards: THATTA (SADIQAB)
theeng more(all (area: NO_TCS_AREA, leopards: THEENG MORE(ALL)
therhi (area: SKZ, leopards: THEHRI)
thoa maharam kh (area: NO_TCS_AREA, leopards: THOA MAHARAM KH)
thotha rai baha (area: NO_TCS_AREA, leopards: THOTHA RAI BAHA)
tor kham (area: PEW, leopards: NO_LEOPARDS)
trag (area: FSD, leopards: NO_LEOPARDS)
tranda mohd. pa (area: NO_TCS_AREA, leopards: TRANDA MOHD. PA)
tranda sawai (area: SKZ, leopards: NO_LEOPARDS)
trandha m panah (area: SKZ, leopards: NO_LEOPARDS)
uchali (area: FSD, leopards: NO_LEOPARDS)
umm al quwain (area: DXB, leopards: NO_LEOPARDS)
usta mhmd (area: SKZ, leopards: NO_LEOPARDS)
vanky tarer (area: NO_TCS_AREA, leopards: VANKY TARER)
vari dir (area: PEW, leopards: NO_LEOPARDS)
vehalizer (area: NO_TCS_AREA, leopards: VEHALIZER)
venktarar (area: NO_TCS_AREA, leopards: VENKTARAR)
wahndo (area: GUJ, leopards: WAHHNDO)
wan bachran (area: FSD, leopards: NO_LEOPARDS)
wana (area: FSD, leopards: NO_LEOPARDS)
yousaf sugar mi (area: NO_TCS_AREA, leopards: YOUSAF SUGAR MI)
ziabad (area: NO_TCS_AREA, leopards: ZIABAD)
