RPK7200,Bhurch,,none
R80302587,Bindi,,none
R80302452,Chachran Sharif,,none
RPK7250,Chakanwali,,none
RPK7211,Chak Dhillu,,none
RPK7295,Chak Gillan,,none
RPK7242,Chak Khalaas,,none
RPK7201,Chak Pindi,,none
RPK7298,Chakrian,,none
RPK7221,Chak Sadda,,none
R80302681,Chechian,chechian (a.k.),medium
R80302510,Chela,,none
RPK7306,Cheni Nikowani,,none
R80302671,Chillianwala,,none
RPK7263,Chiryawala,,none
R80302542,Chitti Sheikhan,,none
RPK7256,Chopala,,none
RPK7261,Chowk Maitla,,none
R80302574,Chund Bharwana,,none
R80302800,Cod Kala,,none
R80302552,D.G Khan,dera ghazi khan,high
R80302777,Dalowali,,none
R80302444,Dera Faridi,,none
R80302569,Dera Taj,,none
RPK7290,Dhool Khurd,,none
R80302460,Dilawar Cheema,,none
R80302692,Din Garh,,none
R80302729,Dodah,,none
R80302431,Domel,domail,medium
RPK7228,Domeli,,none
RPK49,Dunga Bunga,,none
R80302609,Duranpur,,none
R80302393,Faizabad,,none
R80302789,Fortabbas,,none
R80302700,Gailywal,,none
R80302617,Gakhar Chanan,chanan gakkhar,high
R80302676,Garh Maharaja,g maharaja,high
R80302490,Garh More,garh moor,medium
R80302726,Garjakh,,none
R80302664,Ghakka Mitter,,none
R80302649,Ghaniaan,,none
R80302791,Gharial,,none
R80302516,Ghazipur,,none
R80302715,Ghunike,ghuenke,medium
RPK7296,Gillanwala,,none
R80302599,Gohad Pur,,none
R80302570,Gullen Khel,gulan khel,medium
R80302670,Gunna,,none
RPK7203,Haji Wala,hajiwala,high
RPK7279,Harappa,harappa station,high
RPK7268,Hardas Pur,,none
R80302475,Hidayatabad,,none
R80302518,Hussain Abad,,none
RPK7246,Ikhlasgarh,ikhlas (dist. a,medium
R80302652,Jasarwala,jaiserwala,low
RPK7225,Jaurah,,none
R80302556,Jhairanwala,,none
R80306616,Jhal Chakian,,none
RPK7230,Jhewranwali,,none
RPK50,Kabirwala,kabir wala,high
RPK7276,Karim Daad,,none
R80302712,Karimpura,,none
R80302623,Khaur,,none
R80302487,Khawaja Gunj,,none
RPK7235,Khojianwali,,none
R80302790,Kot Fateh Din,,none
R80302403,Kotha,,none
R80302479,Kot Haleem Khan,,none
R80302502,Kot Khizri,,none
R80302645,Kotla Arab Ali Khan,kotla arab ali,high
R80302631,Kot Nakka,,none
R80302732,Kot Qutab,,none
RPK7285,Kung Bhudu,,none
R80306612,Lak Mor,,none
RPK7249,Langrial,,none
R80302628,Lower Barian,,none
RPK7202,Makiana,,none
R80306614,Mari Lak,,none
R80302506,Mehrabad,,none
R80302614,Mehray Wala,,none
R80302691,Mirpur,,none
R80306598,Mithalak,,none
R80302465,Mitran Wala,mitranwali,medium
R80302478,Moazzamabad,,none
R80302639,Moch,mouch,low
R80306618,Mona,,none
R80302598,Muradabad,,none
R80302659,Murad Wala,murid wala,low
R80302637,Mureed,murid,low
RPK7216,Musakamala,,none
R80302540,Mustafa Abad,,none
RPK7217,Nagrianwala,,none
R80302515,Nandipur,,none
R80302409,Nangal,,none
RPK7226,Nanohanda,,none
R80302780,Nawab Pur,,none
R80302573,Nawan Kot,,none
R80302621,Nawan Pind,,none
R80302533,Niaz Nagar,,none
R80302410,Noor Jamal,,none
R80302534,Noor Kot,,none
RPK7236,Pakhowal,,none
R80302622,Pasroor,pasrur,high
R80302717,Phool Nagar,bhai pheru,low
R80302648,Pir Ghani,,none
R80302395,Qadir Pur,,none
R80302520,Qasba Gujrat,qasba grt. chak,low
R80302553,Qasim Pur,,none
R80302595,Qila Kalar Wala,qila kallarwala,high
R80302416,Qila Ram Rang,,none
R80302745,Qila Sahib Singh,,none
RPK7222,Qilladar,,none
R80302640,Qudratabad,,none
R80302678,Rahimabad,,none
R80302567,Raj Kot,,none
R80302589,Rana Wahan,,none
RPK7204,Ranbarrian Wala,,none
R80302694,Rang Shah,,none
R80302612,Rani Pur,,none
RPK7233,Raniwal Syedan,,none
R80302686,Ratta Bajwa,,none
RPK7302,Rolia,,none
RPK7240,Saddoki,,none
RPK46,Sahuwala,,none
RPK7271,Samma Satta,,none
RPK7241,Sapra Syedan,,none
R80302794,Shah Nal,,none
R80302558,Shahpur Jahania,,none
R80302442,Shamaspur,,none
RPK7299,Sharaqpur Sharif,sharaqpur,high
R80302581,Sherpur,,none
R80302590,Tarbela Dam,tarbela,high
RPK7243,Tibba Sultanpur,tibba sultan,high
RPK7259,Tibbi Ghaus,,none
R80302650,Ugoki,,none
R80302797,Upper Topa,topa (a.k),none
R80302718,Wagah,,none
R80302504,Wagowal,,none
R80302467,Wah Cantt,,none
R80302765,Yazman,yazman mandi,high
R80302714,Yousaf Wala,,none
R80302528,Zafar Wal,zafarwal,high
R80302630,Zahir Pir,zahirpeer,high
R80302924,Bandhi,,none
R80302875,Bangul Dero,,none
R80302839,Bhanbore,,none
R80302805,Daro,,none
R80302808,Guddu,guddu barrage,high
R80302865,Jam,,none
R80302855,Jhimpir,jhampeer,medium
R80302886,Khairpur Mir's,khairpur,high
R80302888,Khairpur Nathan Shah,khairpur nathan,high
R80302909,Kot Ghulam Mohammad,kou ghulam mohd,medium
R80302929,Mohenjo Daro,,none
R80302817,Nasarpur,,none
R80302802,Naukot,,none
R80307357,Naushero Feroze,noshero feroz,high
R80302862,Ninda,,none
R80302822,Pangrio,,none
R80302829,Qambar Shahdadkot,,none
R80302896,Ratodero,ratto dero,high
R80302811,Sanjar Chang,,none
R80302905,Sehwan Sharif,sehwan,high
R80302887,Shaheed Benazirabad,,none
R6105285,Tando Muhammad Khan,tando mohd khan,high
R80302826,Tando Soomro,,none
R80302842,Thul,thull,high
R80302816,Ubaouro,ubaro,high
RPK43,Dera Bugti,,none
R80302967,Kanozai,khonazai,medium
R80302977,Miri Kalat Kech,,none
RPK53,Qila Abdullah,,none
R80302952,Sibbi,sibi,high
RPK1642,Taftan,,none
R80302953,Zia Abad,ziabad,none
RPK54,Athmuqam,,none
R8183916,Bhimber,bhimber (a.k),high
R80302938,Chak Swari,chak sawari (a.k),high
R80302940,Hattian Bala,hattian,high
R80302948,Islamgarh,islam garh (a.k),high
R80302947,Jandala,,none
R80302939,Jing,,none
R80302943,Kotli,kotli (a. k),high
R80302941,Mangla,mangla hamlet (a.k),medium
R80302937,Muzafarabad,muzaffarabad (a.k),high
R80302945,Rawalakot,rawalakot (a.k),high
R80302984,Bajaur Agency,bajwar,low
R80302986,Thana Malakand Agency,,none
R80302988,Gamba Skardu,,none
RPK9951,Islamabad – Airport New Societies,,none
MRG-CITY-4583b782-a52,Faisalabad Chak,,none
